UNITID,EN2010,EN2011
100654,6173,6388
100654,5108,5295
100654,1065,1093
100663,20395,20647
100663,12673,13004
100663,7722,7643
100690,1097,1062
100690,570,508
100690,527,554
100706,9102,8976
100706,7194,6984
100706,1908,1992
100724,6625,6517
100724,5493,5548
100724,1132,969
100751,30613,33681
100751,24965,27175
100751,5648,6506
100760,3423,3411
100760,3423,3411
100812,4918,4782
100812,4918,4782
100830,7227,7119
100830,5941,5833
100830,1286,1286
100858,26464,26840
100858,21039,21322
100858,5425,5518
100937,1611,1594
100937,1566,1571
100937,45,23
101028,2737,2525
101028,2737,2525
101073,728,774
101073,728,774
101116,1073,1353
101116,1002,1248
101116,71,105
101143,4112,4103
101143,4112,4103
101161,6557,6846
101161,6557,6846
101189,4075,3961
101189,3506,3316
101189,569,645
101240,10019,9949
101240,10019,9949
101286,6841,52
101286,6841,52
101295,8758,6992
101295,8758,6992
101301,3229,8505
101301,3229,8505
101365,716,3385
101365,716,3385
101435,1233,755
101435,1233,755
101453,124,1315
101453,83,1315
101453,41,109
101462,2068,73
101462,2068,36
101471,1053,2318
101471,1053,2318
101480,11379,1007
101480,9411,1007
101480,1968,11394
101499,2128,9526
101499,2128,1868
101505,13888,1956
101505,13888,1956
101514,16717,14856
101514,16717,14856
101541,342,17627
101541,342,17627
101569,6637,336
101569,6637,336
101587,6390,7058
101587,2233,7058
101587,4157,6871
101602,2572,2259
101602,2572,4612
101648,548,2657
101648,548,2657
101675,2089,494
101675,2089,494
101693,1984,1954
101693,1733,1954
101693,251,1998
101709,3493,1729
101709,2833,269
101709,660,3474
101736,6262,2779
101736,6262,695
101879,8685,6054
101879,7206,6054
101879,1479,8691
101897,4657,7282
101897,4657,1409
101912,2009,4647
101912,1948,4647
101912,61,2100
101949,2066,2048
101949,2066,52
101958,133,2171
101958,133,2171
101994,1111,151
101994,1111,151
102030,5911,1074
102030,5911,1074
102049,5145,5906
102049,3086,5906
102049,2059,5190
102058,567,3118
102058,536,2072
102058,31,522
102067,9689,479
102067,9689,43
102076,3387,9728
102076,3387,9728
102094,17372,3305
102094,13550,3305
102094,3822,17544
102234,1749,13706
102234,1451,3838
102234,298,1849
102261,239,1548
102261,239,301
102270,1185,212
102270,1185,212
102298,780,1145
102298,780,1145
102313,2582,799
102313,2582,799
102368,38040,2642
102368,27773,2642
102368,10267,36806
102377,3833,28121
102377,3240,8685
102377,593,2985
102395,1079,2511
102395,251,474
102395,828,1165
102429,6624,243
102429,6624,922
102553,27909,6508
102553,26356,6508
102553,1553,28019
102580,37,26399
102580,37,1620
102614,15664,80
102614,14189,80
102614,1475,15579
102632,6436,14118
102632,5808,1461
102632,628,6842
102669,889,6214
102669,588,628
102669,301,918
102711,1103,653
102711,1103,265
102845,3656,1182
102845,3656,1182
103361,2265,3347
103361,2265,3347
103501,555,2604
103501,555,2604
103644,12245,482
103644,12245,482
103723,1856,8280
103723,1856,8280
103732,173,1695
103732,173,1695
103741,390,157
103741,390,157
103778,1487,295
103778,4,295
103778,1483,1414
103787,102,2
103787,102,1412
103811,1563,114
103811,1563,114
103893,1818,1673
103893,1818,1673
103909,1965,1611
103909,1965,1611
103927,1393,1671
103927,1393,1671
103945,349,1264
103945,349,1264
103954,125,333
103954,125,333
103963,2552,117
103963,2552,117
104090,2688,2769
104090,2688,2769
104151,76438,3032
104151,60204,3032
104151,16234,79274
104160,12453,63101
104160,12453,16173
104179,42783,13344
104179,32902,13344
104179,9881,42779
104188,333,33005
104188,333,9774
104294,404,330
104294,404,330
104346,15029,373
104346,15029,373
104364,1153,14646
104364,1153,14646
104391,90,1383
104391,90,1383
104425,14633,122
104425,14633,122
104434,108,16192
104434,108,16192
104443,305,76
104443,305,76
104504,309,291
104504,309,291
104531,3510,318
104531,2716,318
104531,794,2754
104568,425,2754
104568,425,374
104577,10247,374
