UNITID,F1A13_10,F1A18_10,F1B25_10,F1A13_11,F1A18_11,F1B25_11
100636,,,,,,
100654,113050823,79610700,140776490,116267000,81817807,145365185
100663,1088903701,2236977186,2520549926,1171668911,2339292264,2611926202
100690,,,,,,
100706,130385545,261995785,195017924,129274908,267736680,201115075
100724,204446635,136138305,145335140,262888167,136240954,150199733
100733,2203052,13098975,13361520,2220512,14041491,14228224
100751,905840696,1534341490,927903526,1089231555,1614638164,845911128
100760,10140149,22932492,27014622,10106770,25674983,32715987
100812,20650652,27065625,33126611,22925383,30351763,34701634
100830,39394693,51193331,81692022,77894493,53801659,87510186
100858,812085277,1269294273,828419795,1056576025,1381618581,873663517
100937,,,,,,
101028,10445983,18033285,14823443,10579578,18064172,15354223
101073,,,,,,
101116,,,,,,
101143,5963711,24062130,27986469,10672636,26363375,31574251
101161,20850048,30817015,34192874,26209297,33122026,35665239
101189,,,,,,
101240,35757086,57786909,65382358,37672484,61389450,63082155
101277,,,,,,
101286,13217418,44136484,42055726,13211815,47833848,42160683
101295,31366693,83222628,55925497,32566382,90604601,70812994
101301,2036047,39336159,24316942,2086135,41536839,27261484
101365,,,,,,
101435,,,,,,
101453,,,,,,
101462,4402545,9892885,14986290,4306732,10575316,14309669
101471,690434,7366702,12679958,771806,7008175,12853373
101480,114879272,79295032,118422431,116875958,83517403,123510903
101499,2158441,12969872,14238991,2068524,13564841,13478055
101505,69484963,37978183,56283150,67751506,44811953,58641822
101514,42375437,62481347,65808118,43438365,72613348,70475598
101541,,,,,,
101569,18332283,26741275,45077119,20138635,29331086,49991401
101587,16856130,28355064,57852106,41845690,42654238,70511924
101602,7360352,18250392,19184150,7387267,18244292,18519293
101648,3827791,20023363,11478558,3957750,19744792,11844064
101675,,,,,,
101693,,,,,,
101709,36168552,54975399,52741882,35965518,55600137,54474013
101736,7163607,30655282,44192943,7048456,31116417,35116828
101879,38382782,91967262,89126842,64732813,96492173,91591510
101897,8285014,21010496,27267318,8313560,22248162,29286611
101912,,,,,,
101949,5380751,16519553,23136924,4529579,17029661,21417370
101958,,,,,,
101994,3483538,4555859,10020551,3480555,4631235,9697729
102030,13035605,31051613,46450014,12640233,35335571,41150696
102049,,,,,,
102058,,,,,,
102067,18393969,67517711,47887408,16583058,69869747,50394700
102076,8322184,22809163,19287496,14076720,22840497,18384042
102094,497886000,419271000,592506000,503301000,416896000,596152000
102234,,,,,,
102261,,,,,,
102270,,,,,,
102298,,,,,,
102313,10359907,18785290,24368947,10856593,19462209,25565201
102368,158690164,236101970,285256504,178608995,265619878,288860257
102377,,,,,,
102395,,,,,,
102429,22061418,54322641,50137140,20932651,56788445,45125653
102553,64705697,315496448,282978202,62254576,351759866,310968435
102580,,,,,,
102614,84879142,397139554,408489790,90665882,468383153,476849911
102632,15387037,58283167,52792545,13742484,61415921,53937978
102669,,,,,,
102711,,,11211386,,,13549665
102845,,,,,,
103361,640938,14465498,8282588,336494,18056058,10577344
103501,,,,,,
103529,106188494,204477441,52204952,123435653,223006702,66651763
103644,,,,,,
103723,,,,,,
103732,,,,,,
103741,,,,,,
103778,,,,,,
103787,,,,,,
103811,,,,,,
103893,,,,,,
103909,,,,,,
103927,,,,,,
103945,,,,,,
103954,,,,,,
103963,,,,,,
104090,,,,,,
104151,1270088000,1036795000,1607184000,1306429000,1130440000,1705041000
104160,88751785,55033945,68823279,83361520,57897763,68731670
104179,1360046000,973603000,1558880000,1385180000,1069087000,1651233000
104188,,,,,,
104294,,,,,,
104346,67227936,80739938,72806097,64541310,92314297,72570734
104364,,,,,,
104391,,,,,,
104425,30842174,48813724,48775226,29342278,52980436,50338646
104434,,,,,,
104443,,,,,,
104504,,,,,,
104531,,,,,,
104568,,,,,,
104577,2933652,74882695,43075142,3344020,78312454,45034843
104586,,,,,,
104665,,,,,,
104708,,,109776592,,,118152890
104717,,,,,,
104805,,,,,,
104911,,,,,,
104984,,,,,,
105118,,,,,,
105127,,,,,,
105136,776002667,660052656,101262065,860986370,763604262,91198738
105145,,,52297205,,,52045718
105154,,,147671502,,,152060245
105163,,,,,,
105172,,,,,,
105206,12286533,17391342,40408753,6944742,22787108,42301134
105215,,,,,,
